start;stop;ligne;time;distance
STMARCEL;GAREDAUSTERLITZ;5;1.5678557658576069;783.9278829288035
CAMPOFORMIO;STMARCEL;5;1.2239951177726671;611.9975588863335
PLACEDITALIE;CAMPOFORMIO;5;1.6127920709604635;806.3960354802317
CHARLESDEGAULLEETOILE;KLEBER;6;1.2241474738094356;612.0737369047177
KLEBER;BOISSIERE;6;1.655675299609752;827.8376498048759
BOISSIERE;TROCADERO;6;1.5357039435091375;767.8519717545688
TROCADERO;PASSY;6;1.7506178411481461;875.3089205740731
PASSY;BIRHAKEIM;6;1.4354733591059097;717.7366795529548
BIRHAKEIM;DUPLEIX;6;1.5014014595642884;750.7007297821442
DUPLEIX;LAMOTTEPICQUETGRENELLE;6;1.3666237655526399;683.31188277632
LAMOTTEPICQUETGRENELLE;CAMBRONNE;6;1.1530882185884566;576.5441092942283
CAMBRONNE;SEVRESLECOURBE;6;1.5501429127661364;775.0714563830682
SEVRESLECOURBE;PASTEUR;6;1.3138844821142133;656.9422410571067
PASTEUR;MONTPARNASSEBIENVENUE;6;1.749225101289762;874.612550644881
MONTPARNASSEBIENVENUE;EDGARQUINET;6;1.3149751060553645;657.4875530276822
EDGARQUINET;RASPAIL;6;1.2444361442275476;622.2180721137738
RASPAIL;DENFERTROCHEREAU;6;1.73462142414167;867.3107120708349
DENFERTROCHEREAU;STJACQUES;6;1.301456902469801;650.7284512349005
STJACQUES;GLACIERE;6;1.5156664009615293;757.8332004807646
GLACIERE;CORVISART;6;1.556376742911579;778.1883714557895
CORVISART;PLACEDITALIE;6;1.3026646708126899;651.3323354063449
PLACEDITALIE;NATIONALE;6;1.6790729000892342;839.536450044617
NATIONALE;CHEVALERET;6;1.3641597249743538;682.0798624871769
CHEVALERET;QUAIDELAGARE;6;1.3327760303210958;666.3880151605479
QUAIDELAGARE;BERCY;6;1.6864970963082209;843.2485481541104
BERCY;DUGOMMIER;6;1.992995223599357;996.4976117996786
DUGOMMIER;DAUMESNIL;6;1.4001338723037793;700.0669361518896
DAUMESNIL;BELAIR;6;1.3627281488623488;681.3640744311745
BELAIR;PICPUS;6;1.329805123846872;664.902561923436
PICPUS;NATION;6;1.5109202792874667;755.4601396437333
KLEBER;CHARLESDEGAULLEETOILE;6;1.2241474738094356;612.0737369047177
BOISSIERE;KLEBER;6;1.655675299609752;827.8376498048759
TROCADERO;BOISSIERE;6;1.5357039435091375;767.8519717545688
PASSY;TROCADERO;6;1.7506178411481461;875.3089205740731
BIRHAKEIM;PASSY;6;1.4354733591059097;717.7366795529548
DUPLEIX;BIRHAKEIM;6;1.5014014595642884;750.7007297821442
LAMOTTEPICQUETGRENELLE;DUPLEIX;6;1.3666237655526399;683.31188277632
CAMBRONNE;LAMOTTEPICQUETGRENELLE;6;1.1530882185884566;576.5441092942283
SEVRESLECOURBE;CAMBRONNE;6;1.5501429127661364;775.0714563830682
PASTEUR;SEVRESLECOURBE;6;1.3138844821142133;656.9422410571067
MONTPARNASSEBIENVENUE;PASTEUR;6;1.749225101289762;874.612550644881
EDGARQUINET;MONTPARNASSEBIENVENUE;6;1.3149751060553645;657.4875530276822
RASPAIL;EDGARQUINET;6;1.2444361442275476;622.2180721137738
DENFERTROCHEREAU;RASPAIL;6;1.73462142414167;867.3107120708349
STJACQUES;DENFERTROCHEREAU;6;1.301456902469801;650.7284512349005
GLACIERE;STJACQUES;6;1.5156664009615293;757.8332004807646
CORVISART;GLACIERE;6;1.556376742911579;778.1883714557895
PLACEDITALIE;CORVISART;6;1.3026646708126899;651.3323354063449
NATIONALE;PLACEDITALIE;6;1.6790729000892342;839.536450044617
CHEVALERET;NATIONALE;6;1.3641597249743538;682.0798624871769
QUAIDELAGARE;CHEVALERET;6;1.3327760303210958;666.3880151605479
BERCY;QUAIDELAGARE;6;1.6864970963082209;843.2485481541104
DUGOMMIER;BERCY;6;1.992995223599357;996.4976117996786
DAUMESNIL;DUGOMMIER;6;1.4001338723037793;700.0669361518896
BELAIR;DAUMESNIL;6;1.3627281488623488;681.3640744311745
PICPUS;BELAIR;6;1.329805123846872;664.902561923436
NATION;PICPUS;6;1.5109202792874667;755.4601396437333
LACOURNEUVEMAI;FORTDAUBERVILLIERS;7;2.0836155395871767;1041.8077697935882
FORTDAUBERVILLIERS;AUBERVILLIERSPANTINQUATRECHEMINS;7;3.5579819817561456;1778.9909908780728
AUBERVILLIERSPANTINQUATRECHEMINS;PORTEDELAVILLETTE;7;2.230570431510495;1115.2852157552475
PORTEDELAVILLETTE;CORENTINCARIOU;7;1.2170818901481062;608.5409450740531
CORENTINCARIOU;CRIMEE;7;1.6803567758694475;840.1783879347238
CRIMEE;RIQUET;7;1.2229708790092593;611.4854395046297
RIQUET;STALINGRAD;7;1.6151782503027146;807.5891251513573
STALINGRAD;LOUISBLANC;7;1.3908394960929995;695.4197480464998
LOUISBLANC;CHATEAULANDON;7;1.2825540982550363;641.2770491275181
CHATEAULANDON;GAREDELEST;7;1.2887490324882118;644.374516244106
GAREDELEST;POISSONNIERE;7;1.8033369148782064;901.6684574391031
POISSONNIERE;CADET;7;1.315012491078568;657.506245539284
CADET;LEPELETIER;7;1.1187085738155282;559.3542869077642
LEPELETIER;CHAUSSEEDANTINLAFAYETTE;7;1.5758986600010958;787.9493300005479
CHAUSSEEDANTINLAFAYETTE;OPERA;7;1.0672984106619348;533.6492053309673
OPERA;PYRAMIDES;7;1.5410247738699758;770.512386934988
PYRAMIDES;PALAISROYALMUSEEDULOUVRE;7;1.3681700001258084;684.0850000629042
PALAISROYALMUSEEDULOUVRE;PONTNEUF;7;1.6918443130940075;845.9221565470037
PONTNEUF;CHATELET;7;1.369960909731092;684.980454865546
CHATELET;PONTMARIE;7;2.088705230678047;1044.3526153390235
PONTMARIE;SULLYMORLAND;7;1.3781887594184077;689.0943797092038
SULLYMORLAND;JUSSIEU;7;2.055126736872785;1027.5633684363925
JUSSIEU;PLACEMONGE;7;1.3014598810221858;650.7299405110929
PLACEMONGE;CENSIERDAUBENTON;7;1.0340916973443832;517.0458486721916
CENSIERDAUBENTON;LESGOBELINS;7;1.5356639097615032;767.8319548807516
LESGOBELINS;PLACEDITALIE;7;1.6729622177390289;836.4811088695144
PLACEDITALIE;TOLBIAC;7;1.5402537189441463;770.1268594720732
TOLBIAC;MAISONBLANCHE;7;1.4050564928919749;702.5282464459874
PORTEDITALIE;PORTEDECHOISY;7;1.223531531128115;611.7657655640575
PORTEDECHOISY;PORTEDIVRY;7;1.2723871324318148;636.1935662159074
PORTEDIVRY;PIERREETMARIECURIE;7;2.181562233407851;1090.7811167039254
PIERREETMARIECURIE;MAIRIEDIVRY;7;1.9164420152979589;958.2210076489795
LEKREMLINBICETRE;VILLEJUIFLEOLAGRANGE;7;1.7353492803382011;867.6746401691006
VILLEJUIFLEOLAGRANGE;VILLEJUIFPAULVAILLANTCOUTURIER;7;2.431667771120772;1215.833885560386
VILLEJUIFPAULVAILLANTCOUTURIER;VILLEJUIFLOUISARAGON;7;2.4848480759122005;1242.4240379561002
MAISONBLANCHE;PORTEDITALIE;7;1.2373608843499;618.68044217495
MAISONBLANCHE;LEKREMLINBICETRE;7;3.293057730455834;1646.528865227917
FORTDAUBERVILLIERS;LACOURNEUVEMAI;7;2.0836155395871767;1041.8077697935882
AUBERVILLIERSPANTINQUATRECHEMINS;FORTDAUBERVILLIERS;7;3.5579819817561456;1778.9909908780728
